Place_Name,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Noise_Level_dB,Air_Quality_Index,CO2_Emission_gkm,Fuel_Consumption_L,Road_Width_m,Lane_Count,Visibility_m,Comments
Namakkal Town,city road,Weekday,Rainy,7311,3574,6579,3123,N,780,2247,2862,171,879,26.7,354,3,75.2,148,154.8,67.14,18.9,3,470,Signal issue
Paramathi Rd,City,Weekday,Rainy,2492,6158,2482,3048,No,5847,5694,3089,547,305,12.0,236,2,72.7,348,554.0,3.07,4.0,7,1669,
Namakkal Town,NH,weekday,Clear,2374,1927,4074,-11,Yes,1490,683,2557,620,463,84.7,40,4,118.7,396,437.1,26.99,14.1,3,286,
Rasipuram Rd,NH,,,6016,6313,472,2774,N,5709,2627,1980,52,171,22.7,124,3,65.4,358,130.7,73.8,9.2,2,1034,Accident zone
Rasipuram Rd,SH,Weekend,Rainy,6770,120,7479,3410,Y,6284,3784,888,114,680,73.5,-14,3,60.9,147,356.8,73.36,6.2,4,456,
Rasipuram Rd,SH,Weekend,Foggy,-93,6310,5294,817,Yes,100,6728,3798,193,2425,2.7,89,-2,41.2,290,534.8,27.84,5.6,2,532,Signal issue
,,Weekday,Clear,6218,1036,1440,2579,N,4361,5907,227,516,1454,23.1,23,-1,82.0,356,96.6,58.86,8.6,4,421,
Tiruchengode Road,City,,Rainy,4798,1936,1273,3674,No,7209,2809,3526,381,2648,30.3,90,5,59.6,282,636.2,11.49,12.4,2,872,Signal issue
,NH,,Rainy,5784,8558,6289,129,N,2492,4250,1871,259,3152,7.3,127,-1,58.2,172,237.2,7.66,13.4,0,1279,Accident zone
Paramathi Rd,NH,Weekend,,6955,4611,11704,181,,8748,2109,2537,60,1061,-5.7,380,-2,117.4,252,592.0,52.46,5.1,4,748,Heavy traffic
Namakkal Town,,,,4920,3676,1643,1418,N,7552,6396,2035,303,2919,42.3,411,6,47.0,285,508.8,52.09,15.2,6,147,Heavy traffic
Tiruchengode Road,,Weekday,Sunny,1812,6741,4773,2554,Y,6796,5977,2435,243,606,7.9,-23,8,97.4,92,389.3,48.64,4.8,4,1103,
Paramathi Rd,Rural,Weekday,Foggy,7048,-99,1919,1243,Y,212,2128,951,152,3348,22.3,78,9,98.0,236,491.8,2.52,13.6,5,1607,Accident zone
Rasipuram Rd,,Weekday,Rainy,1656,6762,11239,3809,Yes,4796,4768,1772,276,2394,36.2,248,5,56.9,216,495.2,32.74,5.6,0,1897,
Paramathi Rd,City,Weekend,Rainy,2534,2082,1156,3020,No,8655,3644,277,467,3127,72.9,-10,3,59.7,217,608.9,20.01,12.4,2,1097,Accident zone
,NH,,Rainy,4686,2611,3330,2117,N,-300,2610,3056,798,91,83.4,152,2,106.5,46,241.2,9.53,10.5,0,1654,
Namakkal Town,SH,Weekday,,7331,4420,11166,245,Yes,7532,3434,852,571,2412,88.0,-23,-1,74.6,183,88.5,69.36,14.1,3,493,
,NH,,Clear,3914,779,8162,589,No,4877,171,3294,445,927,33.5,334,-2,116.4,337,338.4,27.6,12.4,6,1301,Signal issue
Rasipuram Rd,Rural,Weekend,Sunny,6779,2736,7122,3490,No,8380,3046,2388,516,1102,34.8,465,2,73.4,254,490.5,22.89,6.6,1,1208,Signal issue
,SH,weekday,Sunny,7536,2495,1315,1979,No,4607,5833,907,785,2959,20.6,219,1,48.5,479,198.6,77.66,5.0,0,1961,
Namakkal Town,city road,weekday,Sunny,5921,2656,11296,2324,,7891,1060,2192,500,238,28.6,358,1,82.5,79,83.9,38.08,6.1,1,278,
Salem road,,Weekday,,7301,4940,2854,0,N,5696,2941,1881,379,1721,7.9,205,6,70.6,381,371.0,67.43,19.7,4,1982,
,NH,Weekday,,3344,2791,7941,4,,8127,1554,859,735,1684,60.2,185,6,76.7,268,481.1,47.29,5.9,1,1203,Heavy traffic
Namakkal Town,city road,Weekday,,7336,6808,8668,733,,431,6744,1726,739,2193,9.4,-7,5,40.7,233,202.5,33.13,9.1,5,791,Heavy traffic
Salem road,city road,Weekend,Clear,7841,6740,318,33,Yes,4778,4184,1569,192,1732,-1.1,370,8,117.1,148,531.6,1.53,12.6,0,415,Signal issue
Tiruchengode Road,,,Rainy,3664,8869,28,1318,No,7936,4359,2626,158,2540,65.0,440,-1,55.9,313,221.6,20.84,11.1,6,1454,Signal issue
Paramathi Rd,,Weekend,Foggy,929,3317,5753,301,,2061,2328,2173,623,2331,37.6,458,4,54.2,256,370.0,24.56,19.7,6,1874,Signal issue
Paramathi Rd,,Weekday,Sunny,7771,6502,10157,2111,Y,7006,557,1358,247,338,61.6,397,1,114.2,95,492.2,-2.53,16.9,5,1258,Heavy traffic
,city road,weekday,Clear,7249,3817,5759,2182,Yes,2215,5544,649,454,1068,77.1,444,-1,88.1,170,178.3,30.59,19.5,4,452,Heavy traffic
Rasipuram Rd,SH,Weekday,Clear,6572,4444,11543,1638,N,5344,2580,255,563,463,36.6,-19,6,109.0,240,361.2,15.2,14.9,2,134,Signal issue
,NH,Weekend,,6279,5429,5170,1868,,7093,2350,1177,668,1730,9.2,435,6,68.5,266,268.3,15.09,19.5,2,1163,Accident zone
Namakkal Town,,weekday,Rainy,1220,7283,7460,695,,3100,4812,521,791,1208,49.5,154,1,82.8,88,244.4,65.1,9.7,6,536,Accident zone
,SH,,Sunny,3564,7273,473,-15,Yes,4385,5544,3917,340,1325,-3.8,341,3,65.4,162,601.1,14.78,12.8,3,1158,Heavy traffic
,,weekday,Clear,904,4345,711,3427,,2546,-87,2061,176,1152,75.5,80,1,42.5,84,391.4,28.65,19.4,6,1766,
Salem road,,,,321,6109,5335,3083,Yes,3878,903,843,-19,1267,-7.2,381,2,96.6,386,429.2,19.65,6.1,1,1073,
Salem road,SH,weekday,,1580,4037,7708,179,N,5504,323,1381,484,2927,46.5,95,-1,97.4,439,101.8,76.18,11.6,5,1910,Heavy traffic
Tiruchengode Road,city road,Weekday,Sunny,272,2646,5177,3485,Y,6091,1956,2861,670,208,6.5,175,5,104.6,154,220.4,74.43,18.5,3,835,Accident zone
Tiruchengode Road,City,,Sunny,4373,891,4046,316,No,2375,4911,3486,155,2941,42.1,9,2,58.6,278,517.3,13.79,13.0,2,1273,
Namakkal Town,SH,,,3385,8483,5182,757,Yes,5659,1939,1414,251,1496,-3.9,383,8,108.9,287,407.5,6.45,19.9,6,1425,Heavy traffic
Salem road,city road,weekday,,5965,7656,5370,1374,Yes,3463,4810,3388,3,904,-8.4,444,9,69.4,124,525.4,61.02,15.2,3,1398,Accident zone
Rasipuram Rd,SH,weekday,Rainy,1275,4359,6747,1260,N,2428,-75,3899,418,218,61.0,380,6,103.8,145,243.9,22.8,16.1,1,1424,Signal issue
,NH,weekday,Rainy,4804,7386,10365,3814,N,4128,-14,2036,263,986,50.9,15,7,106.7,314,115.1,77.12,7.4,7,1954,
Salem road,,weekday,,83,6872,5904,2719,Yes,5717,6681,3832,634,3455,81.1,292,4,47.4,350,487.8,20.06,4.9,3,886,Accident zone
Salem road,SH,weekday,Clear,5913,6943,11975,3696,Y,8500,4384,2478,320,3473,89.8,347,5,54.7,344,474.6,7.99,11.2,7,763,
,SH,weekday,Foggy,1136,5616,10274,111,Y,3560,5876,-14,230,411,66.0,253,0,71.7,357,179.0,3.33,19.1,1,918,Heavy traffic
Rasipuram Rd,Rural,weekday,Rainy,3345,5691,9633,941,Yes,4568,702,75,229,944,14.0,156,5,41.1,214,86.5,67.99,10.2,7,392,Heavy traffic
Namakkal Town,,Weekend,Rainy,7391,1989,8937,2855,No,5348,2943,1900,758,43,17.2,236,2,111.4,339,285.0,39.63,20.0,7,1098,Signal issue
Tiruchengode Road,Rural,Weekend,Foggy,1011,205,11382,1943,No,-155,6943,3257,498,225,74.5,492,3,114.7,152,279.2,61.14,9.7,2,758,Heavy traffic
Salem road,,Weekend,Clear,3971,7152,4343,2680,,4109,693,1786,157,2058,26.9,407,0,77.5,137,150.9,2.69,3.9,3,758,Heavy traffic
Salem road,city road,Weekend,Sunny,6887,5483,43,3345,Yes,7293,1902,3034,629,3333,20.1,21,0,112.5,295,632.0,77.73,9.8,1,652,Accident zone
Salem road,SH,Weekday,,2869,3858,9821,500,N,1246,-43,127,497,2511,80.2,29,2,119.8,301,499.2,69.72,8.3,6,796,
,city road,Weekday,,5049,6495,5818,3194,N,5591,5111,3428,328,647,9.1,474,1,46.6,253,347.0,-2.93,10.3,7,1460,Signal issue
Namakkal Town,City,,,6482,189,11809,2816,No,2480,4311,3554,316,1088,75.0,319,0,62.1,92,203.6,26.08,7.1,1,1403,
Namakkal Town,City,Weekday,Rainy,4905,8435,6068,2158,Yes,7438,153,1137,249,604,39.4,93,-2,65.9,413,109.3,17.52,3.4,3,482,Signal issue
Paramathi Rd,Rural,Weekend,Rainy,2778,6685,4994,3786,Y,5008,5022,1770,442,3406,70.6,-8,0,96.3,480,350.7,65.02,4.4,2,92,
Paramathi Rd,Rural,Weekday,Rainy,1211,8707,4909,1796,Yes,-79,4703,3691,314,998,48.1,427,-2,74.2,460,211.0,35.47,9.8,4,1049,
Salem road,City,,Foggy,2212,5511,6119,418,Y,3397,3025,2710,0,2981,73.9,369,-1,107.5,391,468.7,30.63,14.0,3,347,Signal issue
Namakkal Town,Rural,Weekday,Sunny,3130,6419,8337,1617,Y,2789,3801,1710,528,2679,36.0,354,6,101.5,75,401.5,67.32,16.9,4,448,
Tiruchengode Road,,,Clear,1319,2224,1924,3293,No,7738,2741,2726,330,1999,54.6,330,4,54.0,426,533.7,31.73,7.9,1,1544,
Paramathi Rd,Rural,,Rainy,995,2799,140,959,,5222,5065,516,721,1647,21.4,35,-1,46.0,190,400.3,62.98,5.1,1,312,Heavy traffic
Salem road,,,Foggy,1176,2236,945,189,Y,4012,6741,1260,87,233,80.5,349,6,64.0,417,516.8,-2.69,6.1,7,871,Accident zone
Namakkal Town,,,Foggy,1416,3157,8048,1827,N,2415,6509,3807,162,2222,40.7,133,4,82.3,342,529.3,51.87,12.9,5,1918,Accident zone
Tiruchengode Road,City,weekday,Sunny,7873,74,644,1516,Yes,6880,5814,3815,811,2927,83.9,226,-2,69.6,470,327.3,69.01,10.9,5,268,Heavy traffic
Rasipuram Rd,City,,Foggy,5998,7109,2713,2480,Y,2555,124,2461,404,2435,61.3,242,6,94.0,189,346.6,36.61,9.0,2,59,Heavy traffic
Rasipuram Rd,Rural,Weekday,Rainy,646,2265,10598,2429,N,722,871,3579,655,2524,89.9,212,-2,95.4,290,390.8,3.23,19.1,1,1068,
Tiruchengode Road,NH,Weekend,,1189,8557,3457,3654,N,7395,1184,809,333,2128,79.7,59,5,109.4,325,212.7,1.93,7.4,7,345,Signal issue
Salem road,SH,Weekday,Rainy,3442,2447,8048,3264,,4287,3551,140,343,1192,76.5,464,5,40.6,85,169.1,76.3,12.4,3,402,
Namakkal Town,,,Clear,1883,367,9263,3317,Y,8262,2462,656,498,716,26.7,396,1,53.1,164,422.4,55.75,8.8,6,1509,
Tiruchengode Road,city road,Weekend,,5629,1770,6533,769,Y,1998,6830,1582,230,1700,43.1,79,0,42.7,52,544.5,44.15,8.7,6,1410,Accident zone
Rasipuram Rd,,,Clear,5164,5083,7659,1082,N,6541,3163,96,446,3385,63.1,268,0,76.9,175,612.8,15.35,17.9,0,1377,Signal issue
Paramathi Rd,,Weekday,Clear,3191,6869,3239,224,N,4543,407,2129,488,3246,28.7,407,0,42.3,221,348.3,19.72,11.4,6,434,Heavy traffic
Salem road,NH,weekday,Rainy,2359,7000,6425,1953,N,-111,6505,1118,786,1084,79.6,470,3,40.8,395,533.0,50.81,10.7,4,934,Heavy traffic
Salem road,Rural,weekday,Clear,5573,1677,7479,1950,No,4121,6470,3490,174,1060,18.1,115,5,66.3,217,336.8,65.62,10.7,1,1529,Signal issue
Paramathi Rd,City,Weekday,Sunny,5457,3111,1656,712,Y,8575,3802,788,87,18,32.3,-10,-1,94.5,377,97.6,46.96,5.6,3,341,Accident zone
Rasipuram Rd,City,weekday,Foggy,266,86,7442,3335,N,4533,5407,1727,9,3411,51.0,248,1,100.5,459,423.6,53.9,8.0,2,129,Heavy traffic
Tiruchengode Road,SH,Weekend,Foggy,4791,6660,1966,785,Yes,3922,4308,3453,161,651,35.5,434,5,69.5,442,207.2,3.1,4.8,2,87,
Paramathi Rd,city road,weekday,Rainy,1470,4515,8365,1407,Yes,2752,3984,2164,416,328,82.0,374,9,45.5,158,271.7,23.89,9.9,0,1408,Heavy traffic
Salem road,city road,weekday,,6643,1541,3652,2198,Yes,2463,2206,3063,217,232,67.7,125,-1,56.5,56,599.2,0.98,9.8,4,831,Signal issue
Tiruchengode Road,Rural,Weekend,,7537,7202,7835,99,Yes,8524,2751,1532,195,1777,57.5,64,0,64.3,123,557.6,8.83,4.8,3,91,
,SH,Weekday,Rainy,4718,2455,6221,501,,4990,6192,2695,2,2168,13.4,411,2,109.9,192,119.9,-4.27,14.7,7,1288,
Tiruchengode Road,SH,,Rainy,7133,8665,4763,1204,Y,2504,1344,2315,652,3038,58.2,389,9,51.5,58,639.3,33.92,11.6,1,577,Accident zone
Namakkal Town,city road,Weekday,Foggy,7698,970,5090,2801,Y,1589,4084,1778,-10,1123,48.1,427,0,71.2,219,238.3,66.31,14.1,0,1836,Signal issue
Namakkal Town,Rural,,Foggy,7390,3442,9879,2897,Yes,3905,5027,3962,550,2929,49.0,358,8,97.6,33,303.7,-4.07,16.3,3,1219,Heavy traffic
Rasipuram Rd,city road,Weekday,Foggy,2097,1296,2240,2014,Y,1176,4630,2766,343,1171,51.4,71,6,69.8,264,401.2,11.35,16.3,2,1688,Heavy traffic
Salem road,City,Weekday,Foggy,3550,3230,8033,2340,Y,6649,6707,1205,152,1327,88.9,390,3,114.5,266,258.4,57.38,11.8,1,652,Heavy traffic
Rasipuram Rd,City,Weekend,Foggy,6571,4374,3946,1390,,3857,1144,789,42,1851,23.7,203,7,56.4,476,267.9,12.0,12.8,4,1859,
Tiruchengode Road,NH,weekday,Foggy,4783,4643,9096,2266,No,7116,4586,3433,722,3081,30.2,7,1,41.0,242,186.7,14.67,3.1,7,1061,Accident zone
Paramathi Rd,NH,,,2200,4862,6110,516,No,4762,2631,2800,694,2357,36.4,256,3,103.8,317,378.8,47.68,11.1,6,222,Accident zone
Tiruchengode Road,City,Weekend,Foggy,2674,6192,108,1598,,1481,6444,3282,530,1573,36.9,319,3,80.8,27,274.1,-3.11,12.6,1,85,Accident zone
Paramathi Rd,City,Weekend,,50,101,1035,2961,No,5898,5257,648,854,2523,64.7,-24,-1,89.5,111,250.4,78.68,9.8,5,1171,Signal issue
Salem road,Rural,weekday,Rainy,1974,653,1339,2804,No,5311,2193,1502,703,2506,14.6,194,9,97.8,221,508.2,67.05,14.4,1,523,Accident zone
Rasipuram Rd,city road,,Foggy,6804,3481,624,3328,N,804,3260,6,724,2518,58.9,-30,0,94.9,130,92.1,35.07,11.8,4,886,Heavy traffic
,city road,Weekend,Sunny,606,8448,2153,1989,N,-24,6645,3152,674,222,73.9,183,7,85.8,489,141.5,18.39,6.9,3,661,Heavy traffic
Tiruchengode Road,Rural,Weekend,Rainy,7491,174,6742,3302,N,7518,6802,661,393,309,9.9,26,-2,45.4,247,201.8,70.97,16.8,1,356,Heavy traffic
,Rural,,,2547,1487,8340,1677,Yes,2538,3637,3653,721,1496,16.1,430,-1,46.6,95,423.3,22.47,7.5,2,1521,Signal issue
Tiruchengode Road,city road,,Foggy,7268,6063,4952,1718,,7415,4313,2906,607,1842,13.5,218,6,91.5,193,276.9,49.96,14.7,4,1967,Signal issue
Salem road,,,Sunny,303,8673,4821,701,Yes,1468,1349,1235,-12,820,71.7,35,5,48.7,21,107.4,73.55,14.8,5,982,Accident zone
Salem road,NH,weekday,Rainy,7815,2771,10540,160,Yes,731,2700,110,42,776,20.8,66,4,43.3,441,471.4,9.64,15.3,1,354,
Namakkal Town,SH,,Rainy,4367,2087,2833,830,N,1172,5949,736,317,2496,77.2,212,7,116.7,266,432.9,63.66,19.8,5,376,Signal issue
Salem road,SH,weekday,Rainy,2595,800,10996,545,No,6716,2827,2281,301,2867,17.6,392,5,41.7,152,106.0,27.46,13.4,7,1131,Accident zone
Rasipuram Rd,,,Sunny,1353,2329,5020,2244,Y,1928,2676,473,815,2739,68.9,398,2,58.1,101,364.3,24.65,19.1,5,582,Heavy traffic
Tiruchengode Road,Rural,Weekend,Foggy,5437,2544,3801,1535,,3643,6088,1358,459,1461,81.7,404,6,44.9,46,274.4,18.75,4.3,1,1521,
,SH,Weekend,Rainy,4360,-99,7927,3660,N,7776,1512,1085,769,1869,38.2,318,7,65.3,220,407.1,65.3,7.1,7,1190,Heavy traffic
,SH,,Clear,731,4888,10762,1487,Y,8730,5718,1225,862,2239,77.9,355,-1,84.8,58,376.7,68.53,18.0,4,1304,Signal issue
,SH,Weekend,,546,8529,1028,3330,Yes,1340,1444,558,619,2136,2.4,40,-2,57.1,127,617.5,15.26,7.9,4,1044,Signal issue
Paramathi Rd,SH,weekday,Clear,7051,3253,620,3039,Yes,4834,4303,408,165,675,-1.3,404,8,119.1,473,479.6,46.21,3.1,2,1445,Accident zone
Namakkal Town,Rural,Weekday,Sunny,7092,371,811,2926,N,8930,4956,1973,141,320,54.4,229,0,54.6,403,367.1,27.01,19.7,2,1465,Signal issue
Tiruchengode Road,Rural,,Foggy,6850,8095,2139,3860,No,2838,1006,1700,876,2540,71.5,173,-1,91.9,238,283.6,43.16,18.5,4,1529,Signal issue
Rasipuram Rd,Rural,,Clear,1855,6431,7654,51,Y,4773,5942,-33,279,732,36.7,96,2,119.0,80,457.0,42.67,17.3,2,1123,
,SH,,Foggy,352,2542,1127,3323,No,5085,6298,2960,98,2779,66.4,214,1,106.6,308,564.6,74.64,8.1,3,1280,Heavy traffic
,city road,weekday,Sunny,6069,7715,9481,2561,,6983,4036,50,759,3441,84.8,256,4,116.0,142,160.4,79.03,15.4,0,1614,Heavy traffic
Rasipuram Rd,SH,,,-192,5556,5353,3527,No,8136,261,1832,846,1059,84.7,293,-1,103.4,227,370.8,62.96,8.8,2,835,Accident zone
Tiruchengode Road,NH,weekday,Sunny,1929,3394,11589,174,,4064,555,3839,171,2564,16.1,59,0,105.9,231,569.5,66.71,17.2,3,1787,Signal issue
Rasipuram Rd,,Weekend,Foggy,5984,8121,54,3797,Y,3202,-81,502,460,221,1.4,304,-2,59.2,265,459.1,39.34,10.7,2,126,Signal issue
Tiruchengode Road,Rural,weekday,Rainy,6843,5759,5969,544,Y,7609,3908,303,749,1179,54.9,279,-1,50.7,227,485.9,79.97,7.0,1,677,Signal issue
Rasipuram Rd,SH,,Foggy,4083,6675,10259,1375,,4303,5836,340,529,430,-9.6,297,3,108.7,449,400.4,30.72,12.2,0,1525,Heavy traffic
,city road,Weekend,Clear,6160,4316,5132,949,,5503,6194,846,257,1845,12.2,273,6,40.4,475,204.2,45.66,12.1,7,665,
Rasipuram Rd,City,,Rainy,7645,304,6437,2956,No,3159,213,185,881,1425,63.7,355,7,46.1,397,509.2,45.39,11.0,4,1944,Accident zone
,Rural,weekday,Foggy,2361,5589,4431,3957,Yes,916,6500,2250,30,991,-6.6,462,9,61.6,250,588.5,9.42,13.7,7,700,
Tiruchengode Road,,weekday,Rainy,1565,4656,9441,2698,No,4395,5334,2038,123,2082,56.1,281,3,90.7,315,472.2,51.33,13.2,4,690,Heavy traffic
Rasipuram Rd,NH,,Rainy,4975,7146,10983,836,No,1286,1051,3708,795,803,20.2,250,-1,107.1,324,242.6,78.33,8.9,0,336,
Namakkal Town,City,,Rainy,6912,3060,5514,1977,Yes,346,227,2704,880,811,40.4,8,7,56.7,424,299.5,51.16,6.0,5,1458,
,Rural,Weekend,Clear,4038,3932,5175,3071,No,8571,6944,3837,387,2128,79.2,89,0,44.8,43,298.8,2.68,11.2,7,1010,
Tiruchengode Road,NH,,,1232,6673,2737,2215,Y,5846,358,569,572,813,47.7,5,-2,86.7,240,279.7,28.74,14.9,3,1630,
Salem road,SH,Weekend,Sunny,6188,4645,8890,12,Y,2883,5464,2356,881,1424,71.5,219,8,50.3,61,250.4,50.04,15.3,1,1466,Signal issue
Namakkal Town,SH,weekday,Clear,5860,994,7357,2549,Y,259,3821,285,120,2631,14.6,268,3,119.4,428,191.1,6.69,18.4,1,506,
Salem road,City,weekday,Rainy,190,6778,1981,3433,N,680,6725,812,803,2262,70.5,248,4,61.4,229,521.6,19.19,12.5,0,1598,Accident zone
Rasipuram Rd,city road,weekday,,3786,1016,9137,3365,No,1812,4214,2524,154,2403,88.0,141,3,73.8,423,166.3,45.21,6.6,7,1335,Signal issue
Paramathi Rd,City,Weekend,,2751,509,3235,1478,No,8901,4577,1195,26,3087,11.7,469,5,112.7,444,438.5,27.31,19.6,1,1095,
Tiruchengode Road,City,Weekday,,4770,8802,5780,1403,No,2651,1093,2086,60,2676,89.1,436,-2,87.0,389,92.8,14.7,4.6,4,1084,
Namakkal Town,city road,weekday,Clear,6159,6057,6906,2733,No,5371,3199,3942,178,584,8.3,41,3,86.9,130,96.3,4.05,10.8,3,128,Heavy traffic
Paramathi Rd,NH,Weekday,Clear,1817,3533,10788,3857,No,7688,6992,2372,244,1188,63.4,408,5,114.0,387,110.7,33.48,18.6,4,75,Signal issue
Namakkal Town,city road,weekday,Rainy,1768,6192,1758,3738,Y,3535,3179,3022,835,1595,35.5,202,-2,90.7,466,134.0,16.29,17.0,7,1270,Heavy traffic
Tiruchengode Road,,Weekday,Sunny,7413,5680,4997,2004,N,6054,4057,3595,867,1671,37.6,404,2,105.9,69,370.8,-1.73,6.3,4,312,
Namakkal Town,city road,Weekday,Sunny,1124,4841,6540,1360,No,2368,6060,3724,147,241,14.1,294,9,97.4,131,380.5,26.9,8.4,1,1229,
Rasipuram Rd,SH,Weekend,Sunny,2730,5329,6596,2183,No,746,1923,2658,35,2641,54.4,-8,5,80.1,451,347.8,35.47,17.4,1,822,
Rasipuram Rd,NH,Weekday,Rainy,301,8130,3532,2160,Y,6404,3484,1860,66,1588,5.9,481,1,42.8,38,299.6,31.96,13.4,1,121,Accident zone
Namakkal Town,city road,Weekend,,2778,6298,5217,2966,Yes,301,6184,311,17,465,78.7,189,1,111.7,198,423.5,64.31,14.0,5,693,
Rasipuram Rd,City,Weekday,Clear,5329,6737,2899,1769,N,2869,2032,810,20,3373,82.4,257,6,48.2,396,483.5,18.66,16.6,3,1191,Accident zone
Salem road,NH,,Rainy,7415,7475,8071,1903,Y,2892,3038,970,774,507,54.3,279,-1,117.0,309,169.2,77.75,15.3,6,1421,Heavy traffic
Namakkal Town,city road,,,1173,8824,7525,305,No,5848,1920,1230,438,1132,78.9,-13,3,74.9,429,167.4,71.49,9.3,5,1523,
,Rural,Weekday,Rainy,5705,3022,5090,964,Y,6789,1023,3955,239,887,-7.2,387,1,98.4,312,296.8,17.25,16.6,7,1616,Heavy traffic
,City,weekday,,1842,484,10723,2900,No,268,6297,159,757,378,-2.9,374,3,112.2,68,196.8,4.96,18.6,2,161,
Tiruchengode Road,city road,Weekday,Sunny,5202,-19,6338,1270,Y,5411,4196,889,886,2919,4.2,258,2,89.8,244,546.8,-1.28,17.8,6,440,Accident zone
Paramathi Rd,SH,,,6653,6377,9089,3298,Y,1962,3753,3924,268,10,75.3,-18,6,117.0,148,332.6,36.47,6.5,4,1796,Signal issue
Paramathi Rd,,Weekday,Clear,-114,1127,3542,3497,,8867,-58,2477,159,7,84.4,224,2,98.7,131,611.6,16.48,3.9,7,1299,Signal issue
Tiruchengode Road,SH,weekday,Clear,222,2074,1124,2774,N,2067,1589,2180,148,1883,11.6,93,-2,80.4,478,509.2,18.2,7.0,0,1306,
Tiruchengode Road,NH,weekday,Foggy,1399,8719,6163,2281,N,2138,6429,112,732,1934,11.5,174,5,77.9,227,246.2,73.75,5.8,0,869,Signal issue
Salem road,city road,weekday,Foggy,3682,4394,3419,320,Yes,7253,2166,1527,133,2674,85.2,191,1,46.6,456,584.3,15.55,9.4,3,1057,Signal issue
Rasipuram Rd,City,Weekend,Rainy,5864,7432,4080,1264,Yes,2334,4196,2348,339,2466,18.4,423,5,113.5,167,478.3,76.72,13.4,7,1356,Signal issue
Namakkal Town,city road,weekday,,7383,5559,8870,1692,N,6329,4380,2443,328,1634,57.9,323,9,104.1,330,366.1,31.48,11.3,4,1964,Accident zone
Paramathi Rd,NH,weekday,Foggy,3138,2033,4681,2087,No,1230,1560,3617,802,170,7.6,347,9,64.0,478,478.9,37.42,14.8,0,857,Heavy traffic
Salem road,city road,,Sunny,4747,5604,160,3733,,1800,6724,3274,485,2112,68.0,9,8,94.1,385,176.2,-4.81,17.6,1,1606,
Paramathi Rd,NH,Weekday,Foggy,2102,4258,11301,3257,No,8599,5036,226,128,2934,77.5,398,3,47.0,409,372.8,63.55,15.0,5,735,Signal issue
Salem road,SH,,Sunny,1377,5726,8973,2958,,3130,1620,1037,181,1027,-3.0,325,1,100.0,26,430.5,64.73,12.6,4,1324,Signal issue
,city road,weekday,Sunny,602,3354,10489,3122,N,3545,2593,3864,304,236,42.8,393,4,63.6,222,230.1,19.14,4.8,2,781,Accident zone
Namakkal Town,NH,Weekend,Sunny,5259,4463,3153,958,,2415,6366,473,319,642,86.3,97,8,93.0,257,519.6,1.01,14.0,2,728,
Rasipuram Rd,city road,Weekday,,5452,6597,971,444,N,1643,1113,3871,686,2836,22.7,131,-2,61.8,333,416.1,64.09,18.7,7,1012,
Paramathi Rd,Rural,weekday,Sunny,3619,8408,4851,1123,Yes,6937,5526,2383,117,1621,14.6,43,1,117.3,317,566.9,34.99,17.9,6,905,Accident zone
Tiruchengode Road,city road,Weekend,,7243,7775,11797,2559,Yes,7381,5926,58,164,1954,1.1,159,6,81.7,195,479.5,73.8,18.1,3,351,Signal issue
Tiruchengode Road,NH,Weekday,,7039,1029,11411,3126,N,5390,5535,2300,817,74,85.8,250,1,103.7,394,365.8,67.86,6.3,5,1835,
,Rural,Weekend,Clear,6526,527,9078,984,,2597,-146,3827,248,2475,-2.6,471,-1,60.7,35,633.9,72.1,12.3,0,228,Heavy traffic
Salem road,Rural,Weekday,Rainy,290,2046,5293,2257,,3602,3237,52,633,271,47.3,289,2,105.2,94,504.1,7.78,15.6,6,228,Signal issue
Tiruchengode Road,Rural,,Clear,6622,424,1294,700,,1543,1753,3648,597,2156,25.8,418,5,85.4,302,518.2,-4.9,19.8,3,177,Signal issue
,,weekday,Sunny,7616,2090,2744,130,N,4660,2041,458,509,901,-6.6,294,9,64.5,49,598.0,41.98,19.5,4,167,
Tiruchengode Road,SH,weekday,Foggy,1256,3726,11116,692,No,6826,6376,2601,403,2305,70.4,19,6,80.8,423,622.0,25.64,9.2,1,1852,
Tiruchengode Road,Rural,Weekday,Clear,4673,3433,2497,1395,N,4059,3731,3774,426,1072,18.6,196,8,95.1,258,468.4,70.37,8.0,6,790,
,city road,Weekday,Foggy,4347,4860,1018,565,Y,3263,5774,2184,76,2516,57.0,54,5,47.1,333,590.3,13.8,8.5,7,158,Signal issue
Salem road,NH,weekday,Rainy,1217,3047,9384,1594,No,3141,3550,1781,436,535,51.3,205,9,95.5,269,455.8,62.41,19.0,5,583,Heavy traffic
Tiruchengode Road,NH,,,2629,4996,1512,3960,,2460,4231,1248,374,2286,74.1,176,7,73.7,336,183.1,-0.19,13.4,1,955,Signal issue
Paramathi Rd,SH,weekday,Clear,5931,1150,581,1104,Yes,327,2221,397,79,3212,89.9,215,-1,116.6,78,403.4,26.79,14.1,6,563,
